Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2025-01-21,6.75,0.8862046001229538,0.8862046001229538
2025-01-22,3.75,-0.31155833873978545,-0.31155833873978545
2025-01-23,4.5,-0.012117604024100656,-0.012117604024100656
2025-01-27,11.25,2.6828490084170626,2.6828490084170626
2025-01-28,3.75,-0.31155833873978545,-0.31155833873978545
2025-01-29,2.75,-0.7108126516940318,-0.7108126516940318
2025-02-03,5.25,0.28732313069158416,0.28732313069158416
2025-02-04,4.5,-0.012117604024100656,-0.012117604024100656
2025-02-05,4.5,-0.012117604024100656,-0.012117604024100656
2025-02-06,2.75,-0.7108126516940318,-0.7108126516940318
2025-02-11,3.5,-0.4113719169783471,-0.4113719169783471
2025-02-14,2.75,-0.7108126516940318,-0.7108126516940318
2025-02-17,2.0,-1.0102533864097167,-1.0102533864097167
2025-02-18,1.75,-1.1100669646482784,-1.1100669646482784
2025-02-19,2.5,-0.8106262299325935,-0.8106262299325935
2025-02-20,2.75,-0.7108126516940318,-0.7108126516940318
2025-02-24,2.5,-0.8106262299325935,-0.8106262299325935
2025-02-25,5.75,0.48695028716870736,0.48695028716870736
2025-02-26,3.75,-0.31155833873978545,-0.31155833873978545
2025-03-03,4.25,-0.11193118226266226,-0.11193118226266226
2025-03-04,5.75,0.48695028716870736,0.48695028716870736
2025-03-05,5.0,0.18750955245302253,0.18750955245302253
2025-03-06,5.0,0.18750955245302253,0.18750955245302253
2025-03-11,5.75,0.48695028716870736,0.48695028716870736
2025-03-17,3.25,-0.5111854952169087,-0.5111854952169087
2025-03-18,3.75,-0.31155833873978545,-0.31155833873978545
2025-03-19,3.25,-0.5111854952169087,-0.5111854952169087
2025-03-20,5.25,0.28732313069158416,0.28732313069158416
2025-03-21,4.5,-0.012117604024100656,-0.012117604024100656
2025-03-24,2.25,-0.9104398081711551,-0.9104398081711551
2025-03-25,4.75,0.08769597421446094,0.08769597421446094
2025-03-26,3.25,-0.5111854952169087,-0.5111854952169087
2025-03-31,3.5,-0.4113719169783471,-0.4113719169783471
2025-04-01,4.5,-0.012117604024100656,-0.012117604024100656
2025-04-02,6.25,0.6865774436458305,0.6865774436458305
2025-04-03,5.25,0.28732313069158416,0.28732313069158416
2025-04-07,16.0,4.579306994949733,4.579306994949733
2025-04-08,6.0,0.586763865407269,0.586763865407269
2025-04-09,15.5,4.37967983847261,4.37967983847261
2025-04-15,5.25,0.28732313069158416,0.28732313069158416
2025-04-16,5.5,0.38713670893014573,0.38713670893014573
2025-04-17,3.5,-0.4113719169783471,-0.4113719169783471
2025-04-21,3.75,-0.31155833873978545,-0.31155833873978545
2025-04-22,3.75,-0.31155833873978545,-0.31155833873978545
2025-04-23,5.5,0.38713670893014573,0.38713670893014573
2025-04-24,3.5,-0.4113719169783471,-0.4113719169783471
2025-04-28,4.5,-0.012117604024100656,-0.012117604024100656
2025-04-29,3.75,-0.31155833873978545,-0.31155833873978545
2025-05-01,5.0,0.18750955245302253,0.18750955245302253
2025-05-05,2.0,-1.0102533864097167,-1.0102533864097167
2025-05-06,3.25,-0.5111854952169087,-0.5111854952169087
2025-05-07,3.25,-0.5111854952169087,-0.5111854952169087
2025-05-09,3.0,-0.6109990734554702,-0.6109990734554702
2025-05-14,3.25,-0.5111854952169087,-0.5111854952169087
2025-05-19,5.25,0.28732313069158416,0.28732313069158416
2025-05-20,4.25,-0.11193118226266226,-0.11193118226266226
2025-05-21,4.0,-0.21174476050122384,-0.21174476050122384
2025-05-22,3.5,-0.4113719169783471,-0.4113719169783471
2025-05-23,3.5,-0.4113719169783471,-0.4113719169783471
2025-05-26,2.5,-0.8106262299325935,-0.8106262299325935
2025-05-27,3.25,-0.5111854952169087,-0.5111854952169087
2025-05-28,2.0,-1.0102533864097167,-1.0102533864097167
2025-06-02,4.0,-0.21174476050122384,-0.21174476050122384
2025-06-03,3.25,-0.5111854952169087,-0.5111854952169087
2025-06-04,3.0,-0.6109990734554702,-0.6109990734554702
2025-06-05,3.0,-0.6109990734554702,-0.6109990734554702
2025-06-10,4.25,-0.11193118226266226,-0.11193118226266226
2025-06-16,5.0,0.18750955245302253,0.18750955245302253
2025-06-17,3.25,-0.5111854952169087,-0.5111854952169087
2025-06-18,4.5,-0.012117604024100656,-0.012117604024100656
2025-06-19,3.75,-0.31155833873978545,-0.31155833873978545
2025-06-20,5.75,0.48695028716870736,0.48695028716870736
2025-06-23,3.0,-0.6109990734554702,-0.6109990734554702
2025-06-24,3.75,-0.31155833873978545,-0.31155833873978545
2025-06-25,3.25,-0.5111854952169087,-0.5111854952169087
2025-06-30,5.0,0.18750955245302253,0.18750955245302253
2025-07-01,3.25,-0.5111854952169087,-0.5111854952169087
2025-07-02,4.25,-0.11193118226266226,-0.11193118226266226
2025-07-04,4.5,-0.012117604024100656,-0.012117604024100656
2025-07-07,3.5,-0.4113719169783471,-0.4113719169783471
2025-07-09,2.75,-0.7108126516940318,-0.7108126516940318
2025-07-10,2.75,-0.7108126516940318,-0.7108126516940318
2025-07-11,3.75,-0.31155833873978545,-0.31155833873978545
2025-07-14,1.75,-1.1100669646482784,-1.1100669646482784
2025-07-17,2.75,-0.7108126516940318,-0.7108126516940318
2025-07-21,5.25,0.28732313069158416,0.28732313069158416
2025-07-22,3.0,-0.6109990734554702,-0.6109990734554702
2025-07-23,2.25,-0.9104398081711551,-0.9104398081711551
2025-07-24,1.75,-1.1100669646482784,-1.1100669646482784
2025-07-25,3.75,-0.31155833873978545,-0.31155833873978545
2025-07-28,3.75,-0.31155833873978545,-0.31155833873978545
2025-07-29,2.75,-0.7108126516940318,-0.7108126516940318
2025-08-04,3.75,-0.31155833873978545,-0.31155833873978545
2025-08-05,2.0059814453127274,-1.0078652685709102,-1.0078652685709102
2025-08-06,2.5,-0.8106262299325935,-0.8106262299325935
2025-08-08,1.5,-1.2098805428868398,-1.2098805428868398
2025-08-11,2.0,-1.0102533864097167,-1.0102533864097167
2025-08-13,4.5,-0.012117604024100656,-0.012117604024100656
2025-08-18,3.0,-0.6109990734554702,-0.6109990734554702
2025-08-19,2.5,-0.8106262299325935,-0.8106262299325935
2025-08-20,3.25,-0.5111854952169087,-0.5111854952169087
2025-08-21,2.5,-0.8106262299325935,-0.8106262299325935
2025-08-22,2.0,-1.0102533864097167,-1.0102533864097167
